"id","conflict_new_id","conflict_name","country","best","type_of_violence","date"
561722,404,"Pakistan: Government","Afghanistan",2,1,2025-01-18
572555,404,"Pakistan: Government","Afghanistan",7,1,2025-03-28
584494,404,"Pakistan: Government","Afghanistan",18,1,2025-04-22
587018,404,"Pakistan: Government","Afghanistan",1,1,2025-07-05
592718,404,"Pakistan: Government","Afghanistan",3,1,2025-08-27
599182,404,"Pakistan: Government","Afghanistan",2,1,2025-10-09
600374,404,"Pakistan: Government","Afghanistan",5,1,2025-10-15
558821,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-01-01
560759,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-01-12
563752,484,"Government of Afghanistan - Civilians","Afghanistan",2,3,2025-01-22
563712,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-01-28
563770,484,"Government of Afghanistan - Civilians","Afghanistan",1,3,2025-02-01
567929,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-02-22
572560,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-03-23
572545,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-03-26
572541,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-03-31
579996,484,"Government of Afghanistan - Civilians","Afghanistan",1,3,2025-05-23
593129,484,"Government of Afghanistan - Civilians","Afghanistan",1,3,2025-05-24
581864,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-06-04
581688,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-06-05
583869,484,"Government of Afghanistan - Civilians","Afghanistan",1,3,2025-06-15
584863,484,"Government of Afghanistan - Civilians","Afghanistan",1,3,2025-06-20
584350,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-06-22
587015,484,"Government of Afghanistan - Civilians","Afghanistan",8,3,2025-06-30
585841,484,"Government of Afghanistan - Civilians","Afghanistan",5,3,2025-07-01
587613,484,"Government of Afghanistan - Civilians","Afghanistan",1,3,2025-07-07
597634,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-07-12
597632,484,"Government of Afghanistan - Civilians","Afghanistan",1,3,2025-07-25
593138,484,"Government of Afghanistan - Civilians","Afghanistan",1,3,2025-08-06
597597,484,"Government of Afghanistan - Civilians","Afghanistan",1,3,2025-08-21
597590,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-08-29
597569,484,"Government of Afghanistan - Civilians","Afghanistan",1,3,2025-09-26
597495,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-09-27
604748,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-11-21
605550,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-11-27
608971,484,"Government of Afghanistan - Civilians","Afghanistan",0,3,2025-12-26
574927,506,"IS - Civilians","Afghanistan",0,3,2025-04-14
583899,506,"IS - Civilians","Afghanistan",1,3,2025-06-14
563748,730,"Government of Pakistan - Civilians","Afghanistan",0,3,2025-01-31
599210,730,"Government of Pakistan - Civilians","Afghanistan",0,3,2025-10-13
584860,10134,"Hazara - Kochi","Afghanistan",1,2,2025-06-22
588330,10134,"Hazara - Kochi","Afghanistan",1,2,2025-07-29
604267,10134,"Hazara - Kochi","Afghanistan",1,2,2025-11-12
560727,11639,"Afghanistan - Pakistan","Afghanistan",1,1,2025-01-09
577035,11639,"Afghanistan - Pakistan","Afghanistan",0,1,2025-02-01
568998,11639,"Afghanistan - Pakistan","Afghanistan",1,1,2025-03-03
571617,11639,"Afghanistan - Pakistan","Afghanistan",0,1,2025-03-08
579395,11639,"Afghanistan - Pakistan","Afghanistan",7,1,2025-05-16
583881,11639,"Afghanistan - Pakistan","Afghanistan",1,1,2025-06-13
583880,11639,"Afghanistan - Pakistan","Afghanistan",2,1,2025-06-15
592717,11639,"Afghanistan - Pakistan","Afghanistan",1,1,2025-08-29
598273,11639,"Afghanistan - Pakistan","Afghanistan",1,1,2025-10-02
599211,11639,"Afghanistan - Pakistan","Afghanistan",12,1,2025-10-11
599062,11639,"Afghanistan - Pakistan","Afghanistan",48,1,2025-10-11
599086,11639,"Afghanistan - Pakistan","Afghanistan",2,1,2025-10-11
599101,11639,"Afghanistan - Pakistan","Afghanistan",8,1,2025-10-12
599183,11639,"Afghanistan - Pakistan","Afghanistan",11,1,2025-10-12
600380,11639,"Afghanistan - Pakistan","Afghanistan",40,1,2025-10-15
600420,11639,"Afghanistan - Pakistan","Afghanistan",1,1,2025-10-15
600406,11639,"Afghanistan - Pakistan","Afghanistan",1,1,2025-10-15
602965,11639,"Afghanistan - Pakistan","Afghanistan",9,1,2025-11-06
602987,11639,"Afghanistan - Pakistan","Afghanistan",2,1,2025-11-06
604652,11639,"Afghanistan - Pakistan","Afghanistan",10,1,2025-11-24
606080,11639,"Afghanistan - Pakistan","Afghanistan",6,1,2025-12-05
560733,13637,"Afghanistan: Islamic State","Afghanistan",0,1,2025-01-02
560730,13637,"Afghanistan: Islamic State","Afghanistan",1,1,2025-01-07
560725,13637,"Afghanistan: Islamic State","Afghanistan",2,1,2025-01-11
561702,13637,"Afghanistan: Islamic State","Afghanistan",1,1,2025-01-17
561687,13637,"Afghanistan: Islamic State","Afghanistan",2,1,2025-01-21
561692,13637,"Afghanistan: Islamic State","Afghanistan",1,1,2025-01-25
561697,13637,"Afghanistan: Islamic State","Afghanistan",1,1,2025-01-25
567462,13637,"Afghanistan: Islamic State","Afghanistan",20,1,2025-02-11
567454,13637,"Afghanistan: Islamic State","Afghanistan",4,1,2025-02-13
567920,13637,"Afghanistan: Islamic State","Afghanistan",0,1,2025-02-25
